name,mfr,calories,%DV calories,cal,protein,%DV protein,pro,fat,%DV fat,fat1,sodium,%DV sodium,sod,fiber,%DV fiber,fib,carbo,%DV carbo,carb,sugars,%DV sugars,sug,potass,%DV potass,pot,cups,rating,veg,pf,gf
Nature's Path Envirokidz Panda Puffs,N,130,6.5,MEDIUM,2,4,LOW,3.5,4.49,LOW,125,5.43,MEDIUM,2,7.14,MEDIUM,23,8.36,MEDIUM,7,14,MEDIUM,0,0,LOW,0.75,4.6,,,
Cookie Crisp,G,140,7,MEDIUM,2,4,LOW,1.5,1.92,LOW,150,6.52,MEDIUM,2,7.14,MEDIUM,31,11.27,MEDIUM,12,24,HIGH,0,0,LOW,1,4.6,,,
Krave,K,170,8.5,MEDIUM,3,6,MEDIUM,4.5,5.77,MEDIUM,140,6.09,MEDIUM,2,7.14,MEDIUM,32,11.64,MEDIUM,15,30,HIGH,110,2.34,LOW,1,4.4,,,
Oreo O's,P,160,8,MEDIUM,1,2,LOW,1.5,1.92,LOW,150,6.52,MEDIUM,3,10.71,MEDIUM,25,9.09,MEDIUM,13,26,HIGH,45,0.96,LOW,1,4.8,,,
Special K Red Berries,K,140,7,MEDIUM,3,6,MEDIUM,0.5,0.64,LOW,250,10.87,MEDIUM,3,10.71,MEDIUM,43,15.64,MEDIUM,21,42,HIGH,360,7.66,MEDIUM,1.25,4.7,,,
Special K Chocolately Delight,K,170,8.5,MEDIUM,3,6,MEDIUM,3,3.85,LOW,250,10.87,MEDIUM,3,10.71,MEDIUM,34,12.36,MEDIUM,13,26,HIGH,120,2.55,LOW,1,4.7,,,
Special K Fruit and Yogurt,K,160,8,MEDIUM,3,6,MEDIUM,1,1.28,LOW,190,8.26,MEDIUM,3,10.71,MEDIUM,36,13.09,MEDIUM,13,26,HIGH,90,1.91,LOW,1,4.8,,,
Special K Vanilla Almond,K,150,7.5,MEDIUM,3,6,MEDIUM,1.5,1.92,LOW,220,9.57,MEDIUM,3,10.71,MEDIUM,33,12,MEDIUM,11,22,HIGH,100,2.13,LOW,1,4.8,,,
Special K Original,K,150,7.5,MEDIUM,7,14,MEDIUM,0.5,0.64,LOW,270,11.74,MEDIUM,1,3.57,LOW,29,10.55,MEDIUM,5,10,MEDIUM,10,0.21,LOW,1.25,4.5,,,
Special K Blueberry Lemon Clusters,K,150,7.5,MEDIUM,3,6,MEDIUM,1,1.28,LOW,260,11.3,MEDIUM,3,10.71,MEDIUM,35,12.73,MEDIUM,12,24,HIGH,100,2.13,LOW,1,4.5,,,
Honey Bunches of Oats Honey Roasted Oat,P,120,6,MEDIUM,2,4,LOW,1.5,1.92,LOW,135,5.87,MEDIUM,2,7.14,MEDIUM,25,9.09,MEDIUM,6,12,MEDIUM,55,1.17,LOW,0.75,4.8,,,
Honey Bunches of Oats with Almonds,P,170,8.5,MEDIUM,3,6,MEDIUM,3,3.85,LOW,180,7.83,MEDIUM,34,121.43,HIGH,2,0.73,LOW,9,18,MEDIUM,80,1.7,LOW,1,4.5,,,
Honey Bunches of Oats Frosted,P,160,8,MEDIUM,2,4,LOW,2,2.56,LOW,180,7.83,MEDIUM,2,7.14,MEDIUM,34,12.36,MEDIUM,11,22,HIGH,30,0.64,LOW,1,4.8,,,
Fiber One Original Bran,G,90,4.5,LOW,3,6,MEDIUM,1,1.28,LOW,140,6.09,MEDIUM,18,64.29,HIGH,34,12.36,MEDIUM,0,0,LOW,0,0,LOW,0.66,4.7,,,
Fiber One Honey Clusters,G,170,8.5,MEDIUM,4,8,MEDIUM,1.5,1.92,LOW,200,8.7,MEDIUM,10,35.71,HIGH,45,16.36,MEDIUM,10,20,MEDIUM,0,0,LOW,1,5,,,
